Phone timestamp;HR [bpm];HRV [ms];
2023-04-05T12:53:41.944;91;4,8
2023-04-05T12:53:42.951;91;4,8
2023-04-05T12:53:43.937;92;4,8
2023-04-05T12:53:44.956;92;4,5
2023-04-05T12:53:45.983;91;4,3
2023-04-05T12:53:46.948;91;4,3
2023-04-05T12:53:47.982;90;4,7
2023-04-05T12:53:48.947;90;4,6
2023-04-05T12:53:49.976;90;5,3
2023-04-05T12:53:50.946;90;4,7
2023-04-05T12:53:51.984;90;4,7
2023-04-05T12:53:52.944;90;4,7
2023-04-05T12:53:53.976;91;4,2
2023-04-05T12:53:54.993;90;4,2
2023-04-05T12:53:55.986;90;4,1
2023-04-05T12:53:56.943;90;4,1
2023-04-05T12:53:57.979;90;4,2
2023-04-05T12:53:58.941;90;4,1
2023-04-05T12:53:59.965;90;4,1
2023-04-05T12:54:00.938;90;4,1
2023-04-05T12:54:01.964;90;4,1
2023-04-05T12:54:02.946;89;4,2
2023-04-05T12:54:03.962;89;4,2
2023-04-05T12:54:04.948;89;4,2
2023-04-05T12:54:05.969;89;4,2
2023-04-05T12:54:06.937;89;3,6
