Phone timestamp;HR [bpm];HRV [ms];
2023-04-06T16:14:11.705;101
2023-04-06T16:14:12.731;101
2023-04-06T16:14:13.706;101
2023-04-06T16:15:02.717;95;211,7
2023-04-06T16:15:03.724;95;211,7
2023-04-06T16:15:04.718;95;212,9
2023-04-06T16:15:05.825;95;211,6
2023-04-06T16:15:06.746;95;211,6
2023-04-06T16:15:07.742;95;229,9
2023-04-06T16:15:08.726;94;229,9
2023-04-06T16:15:09.759;92;218,2
2023-04-06T16:15:10.714;92;210,4
2023-04-06T16:15:11.731;92;210,4
2023-04-06T16:15:12.702;91;205,5
2023-04-06T16:15:13.717;91;205,5
2023-04-06T16:15:14.743;91;200,6
2023-04-06T16:15:15.808;91;201,5
2023-04-06T16:15:16.691;91;201,5
2023-04-06T16:15:17.715;91;201,5
2023-04-06T16:15:18.691;91;201,5
2023-04-06T16:15:19.735;91;182,5
2023-04-06T16:15:20.689;91;182,5
2023-04-06T16:15:21.712;91;182,5
2023-04-06T16:15:22.711;90;182,5
2023-04-06T16:15:23.719;90;168,9
2023-04-06T16:15:24.716;90;172,1
2023-04-06T16:15:25.725;90;173,7
2023-04-06T16:15:26.733;90;173,7
2023-04-06T16:15:27.716;90;173,7
2023-04-06T16:15:28.740;90;173,8
2023-04-06T16:15:29.707;90;173,8
2023-04-06T16:15:30.731;90;173,8
2023-04-06T16:15:31.707;90;173,8
2023-04-06T16:15:32.731;90;173,8
2023-04-06T16:15:33.722;90;173,0
2023-04-06T16:15:34.750;90;218,8
2023-04-06T16:15:35.713;90;216,5
2023-04-06T16:15:36.727;90;216,5
2023-04-06T16:15:37.712;90;259,2
2023-04-06T16:15:38.744;91;259,3
2023-04-06T16:15:39.773;94;242,5
2023-04-06T16:15:40.735;95;242,5
2023-04-06T16:15:41.701;95;242,5
2023-04-06T16:15:42.744;96;242,5
2023-04-06T16:15:43.707;97;209,1
2023-04-06T16:15:44.750;98;208,9
2023-04-06T16:15:45.708;98;208,9
2023-04-06T16:15:46.787;97;208,9
2023-04-06T16:15:47.712;97;200,4
2023-04-06T16:15:48.736;99;200,1
2023-04-06T16:15:49.720;99;200,1
2023-04-06T16:15:50.728;100;200,1
2023-04-06T16:15:51.711;101;197,4
2023-04-06T16:15:52.734;101;197,2
2023-04-06T16:15:53.709;100;196,0
2023-04-06T16:15:54.725;99;195,9
2023-04-06T16:15:55.708;97;195,9
2023-04-06T16:15:56.730;97;143,0
2023-04-06T16:15:57.706;96;10,5
2023-04-06T16:15:58.731;95;9,3
2023-04-06T16:15:59.699;96;9,4
2023-04-06T16:16:00.730;97;8,9
2023-04-06T16:16:01.704;97;8,9
2023-04-06T16:16:02.712;97;8,9
2023-04-06T16:16:03.702;97;8,9
2023-04-06T16:16:04.726;98;8,0
2023-04-06T16:16:05.734;98;8,0
2023-04-06T16:16:06.745;98;8,2
2023-04-06T16:16:07.850;99;105,1
2023-04-06T16:16:08.728;100;148,5
2023-04-06T16:16:09.749;100;148,5
2023-04-06T16:16:10.729;101;148,5
2023-04-06T16:16:11.739;102;148,5
2023-04-06T16:16:12.772;101;148,6
2023-04-06T16:16:13.747;100;148,4
2023-04-06T16:16:14.705;100;148,4
2023-04-06T16:16:15.744;100;148,4
2023-04-06T16:16:16.712;100;148,4
2023-04-06T16:16:17.744;99;148,4
2023-04-06T16:16:18.717;99;148,4
2023-04-06T16:16:19.740;99;148,5
2023-04-06T16:16:20.720;98;148,5
2023-04-06T16:16:21.724;98;148,5
2023-04-06T16:16:22.707;98;148,5
2023-04-06T16:16:23.740;97;148,5
2023-04-06T16:16:24.713;98;148,5
2023-04-06T16:16:25.736;98;148,5
2023-04-06T16:16:26.755;99;148,5
2023-04-06T16:16:27.786;100;148,5
2023-04-06T16:16:28.709;99;105,1
2023-04-06T16:16:29.735;99;6,0
2023-04-06T16:16:30.705;99;6,0
2023-04-06T16:16:31.746;96;7,7
2023-04-06T16:16:32.695;95;7,7
2023-04-06T16:16:33.740;94;7,7
2023-04-06T16:16:34.729;93;8,1
2023-04-06T16:16:35.773;93;8,1
2023-04-06T16:16:36.701;93;8,1
