Phone timestamp;HR [bpm];HRV [ms];
2023-04-06T16:14:11.705;101
2023-04-06T16:14:12.731;101
2023-04-06T16:14:13.706;101
2023-04-06T16:14:14.788;101;677,9
2023-04-06T16:14:15.709;101;623,9
2023-04-06T16:14:16.728;101;623,9
2023-04-06T16:14:17.702;101;623,9
2023-04-06T16:14:18.725;101;623,9
2023-04-06T16:14:19.706;101;577,6
2023-04-06T16:14:20.726;101;577,6
2023-04-06T16:14:21.718;101;491,5
2023-04-06T16:14:22.725;101;491,5
2023-04-06T16:14:23.710;101;491,5
2023-04-06T16:14:24.730;101;454,3
2023-04-06T16:14:25.699;101;454,3
2023-04-06T16:14:26.720;101;454,3
2023-04-06T16:14:27.698;101;454,3
2023-04-06T16:14:28.720;101;454,3
2023-04-06T16:14:29.701;101;436,5
2023-04-06T16:14:30.720;101;436,5
2023-04-06T16:14:31.694;101;436,5
2023-04-06T16:14:32.786;101;385,0
2023-04-06T16:14:33.742;101;385,0
2023-04-06T16:14:34.736;101;364,2
2023-04-06T16:14:35.693;101;364,2
2023-04-06T16:14:36.781;101;406,9
2023-04-06T16:14:37.701;101;406,9
2023-04-06T16:14:38.714;101;406,9
2023-04-06T16:14:39.712;101;383,3
2023-04-06T16:14:40.722;101;376,4
2023-04-06T16:14:41.697;101;369,3
2023-04-06T16:14:42.738;101;370,3
2023-04-06T16:14:43.697;101;318,5
2023-04-06T16:14:44.711;101;318,5
2023-04-06T16:14:45.735;101;318,5
2023-04-06T16:14:46.744;101;271,2
2023-04-06T16:14:47.799;101;272,6
2023-04-06T16:14:48.708;101;272,6
2023-04-06T16:14:49.748;101;273,2
2023-04-06T16:14:50.706;101;273,2
2023-04-06T16:14:51.762;99;286,4
2023-04-06T16:14:52.705;99;286,4
2023-04-06T16:14:53.795;98;291,1
2023-04-06T16:14:54.744;96;288,6
2023-04-06T16:14:55.738;96;288,6
2023-04-06T16:14:56.704;96;288,6
2023-04-06T16:14:57.727;96;288,6
2023-04-06T16:14:58.702;96;288,6
2023-04-06T16:14:59.748;96;213,9
2023-04-06T16:15:00.699;96;213,9
2023-04-06T16:15:01.726;96;213,9
